pregunta,respuesta
1,A
2,D
3,C
4,A
5,C
6,D
7,A
8,D
9,B
10,B
11,D
12,B
13,A
14,D
15,A
16,C
17,A
18,C
19,A
20,C
21,C
22,D
23,B
24,C
25,A
26,C
27,D
28,D
29,B
30,A
31,D
32,A
33,D
34,B
35,C
36,B
37,C
38,B
39,D
40,C
41,A
42,C
43,A
44,B
45,A
46,C
47,A
48,D
49,A
50,B
51,D
52,C
53,B
54,C
55,C
56,C
57,B
58,A
59,C
60,B
61,A
62,D
63,A
64,D
65,C
66,A
67,B
68,C
69,A
70,C
71,B
72,D
73,C
74,D
75,A
76,D
77,A
78,D
79,A
80,D
81,A
82,C
83,C
84,D
85,B
86,B
87,ANULADA
88,A
89,D
90,B
91,C
92,ANULADA
93,C
94,B
95,D
96,B
97,C
98,C
99,ANULADA
100,B
101,D
102,D
103,B
104,C
105,D
106,C
107,D
108,D
109,C
110,ANULADA
111,C
112,A
113,ANULADA
114,C
115,C
116,C
117,D
118,C
119,C
120,B
121,A
122,A
123,B
124,C
125,D
126,B
127,B
128,A
129,C
130,A
